variant_chr,magi_num,seed_num
"Flat, then taper",25000,100
"Flat, then taper",25250,100
"Flat, then taper",25500,100
"Flat, then taper",25750,100
"Flat, then taper",26000,100
"Flat, then taper",26250,100
"Flat, then taper",26500,100
"Flat, then taper",26750,100
"Flat, then taper",27000,100
"Flat, then taper",27250,100
"Flat, then taper",27500,100
"Flat, then taper",27750,100
"Flat, then taper",28000,100
"Flat, then taper",28250,100
"Flat, then taper",28500,100
"Flat, then taper",28750,100
"Flat, then taper",29000,100
"Flat, then taper",29250,100
"Flat, then taper",29500,100
"Flat, then taper",29750,100
"Flat, then taper",30000,100
"Flat, then taper",30250,100
"Flat, then taper",30500,100
"Flat, then taper",30750,100
"Flat, then taper",31000,100
"Flat, then taper",31250,100
"Flat, then taper",31500,100
"Flat, then taper",31750,100
"Flat, then taper",32000,100
"Flat, then taper",32250,99.86337506765275
"Flat, then taper",32500,97.53673456430123
"Flat, then taper",32750,95.2100940609497
"Flat, then taper",33000,92.88345355759817
"Flat, then taper",33250,90.55681305424665
"Flat, then taper",33500,88.2301725508951
"Flat, then taper",33750,85.90353204754358
"Flat, then taper",34000,83.57689154419205
"Flat, then taper",34250,81.25025104084052
"Flat, then taper",34500,78.923610537489
"Flat, then taper",34750,76.59697003413747
"Flat, then taper",35000,74.27032953078594
"Flat, then taper",35250,71.9436890274344
"Flat, then taper",35500,69.61704852408288
"Flat, then taper",35750,67.29040802073135
"Flat, then taper",36000,64.96376751737982
"Flat, then taper",36250,62.637127014028295
"Flat, then taper",36500,60.31048651067677
"Flat, then taper",36750,57.98384600732523
"Flat, then taper",37000,55.65720550397371
"Flat, then taper",37250,53.33056500062218
"Flat, then taper",37500,51.003924497270646
"Flat, then taper",37750,48.677283993919126
"Flat, then taper",38000,46.3506434905676
"Flat, then taper",38250,44.024002987216065
"Flat, then taper",38500,41.69736248386454
"Flat, then taper",38750,39.37072198051301
"Flat, then taper",39000,37.04408147716148
"Flat, then taper",39250,34.71744097380995
"Flat, then taper",39500,32.39080047045842
"Flat, then taper",39750,30.064159967106892
"Flat, then taper",40000,27.737519463755365
"Flat, then taper",40250,25.410878960403835
"Flat, then taper",40500,23.084238457052304
"Flat, then taper",40750,20.757597953700778
"Flat, then taper",41000,18.430957450349247
"Flat, then taper",41250,16.10431694699772
"Flat, then taper",41500,13.77767644364619
"Flat, then taper",41750,11.45103594029466
"Flat, then taper",42000,9.124395436943132
"Flat, then taper",42250,6.797754933591603
"Flat, then taper",42500,4.471114430240075
"Flat, then taper",42750,2.1444739268885455
"Flat, then taper",43000,0
"Flat, then taper",43250,0
"Flat, then taper",43500,0
"Flat, then taper",43750,0
"Flat, then taper",44000,0
"Flat, then taper",44250,0
"Flat, then taper",44500,0
"Flat, then taper",44750,0
"Flat, then taper",45000,0
"Flat, then taper",45250,0
"Flat, then taper",45500,0
"Flat, then taper",45750,0
"Flat, then taper",46000,0
"Flat, then taper",46250,0
"Flat, then taper",46500,0
